"ident","source","context","max_length","it","uk"
"ident1","source1","context","20","context","переклад1"
"ident2","source2","context","20","context","переклад2"
"ident3","source3","context","20","context","переклад3"
"ident4","source4","context","20","context","переклад4"
"ident5","source5","context","20","context","переклад5"
"ident6","source6","context","20","context","переклад6"
"ident7","source7","context","20","context","переклад7"
"ident8","source8","context","20","context","переклад8"
"ident9","source9","context","20","context","переклад9"
"ident10","source10","context","20","context","переклад10"
"ident11","source11","context","20","context","переклад11"
"ident12","source12","context","20","context","переклад12"
"ident13","source13","context","20","context","переклад13"
"ident14","source14","context","20","context","переклад14"
"ident15","source15","context","20","context","переклад15"
"ident16","source16","context","20","context","переклад16"
"ident17","source17","context","20","context","переклад17"
"ident18","source18","context","20","context","переклад18"
"ident19","source19","context","20","context","переклад19"
"ident20","source20","context","10","context","переклад20"
